State,AreaID,yearmo,LOB,MEMB_CNT,AVG_AGE,PCT_F,RiskScore,TOTAL_ALLOWED_PMPM,IP_Allowed_PMPM,OP_Allowed_PMPM,PROF_Allowed_PMPM,RX_Allowed_PMPM,Other_Allowed_PMPM,MED_ADMT_CNT,FOP_WO_ED_CNT,ED_ADMT_CNT,UC_ADMT_CNT,PCP_VIST_CNT,SPEC_VIST_CNT,ALG_TST_CNT,ALG_IMT_CNT,E_TOTPOP,AREA_SQMI,E_HU,E_HH,E_UNEMP,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ
CA,CA22,201703,ADV,15,75.86666667,0.6,0.818666667,$440.14 ,$0.00 ,$58.82 ,$233.91 ,$147.42 ,$0.00 ,0,0,0,0,4,1,0,0,171365,1234.545845,62685,58539,6792,22175,14964,23303,45990,13426,84511,4555,4913,3992,3786,2411
CA,CA23,201703,ADV,68,74.58823529,0.397058824,1.051485294,$666.73 ,$158.39 ,$245.25 ,$212.36 ,$50.73 ,$0.00 ,1,0,1,1,6,16,0,0,151906,9005.172163,84579,59685,4117,9269,9764,35175,25619,1701,28770,2723,7154,1011,2769,11716
CA,CA24,201703,ADV,223,77.88789238,0.582959641,0.993484305,"$1,207.10 ",$532.13 ,$103.73 ,$294.78 ,$276.46 ,$0.00 ,4,0,5,3,70,59,0,1,428006,8864.022501,193696,163983,16804,39396,35478,79271,91192,17615,138500,10651,26639,6204,11021,9809
CA,CA25,201703,ADV,100,78.05,0.45,1.01876,$954.84 ,$263.83 ,$221.09 ,$268.26 ,$201.67 ,$0.00 ,3,0,4,1,25,23,1,1,470990,24672.40534,218386,187277,15591,36021,38019,90963,98766,8104,114440,8163,28551,6986,13481,12724
CA,CA3,201703,ADV,7956,76.0130719,0.595274007,0.452102564,$480.04 ,$110.94 ,$48.67 ,$100.18 ,$220.24 ,$0.00 ,23,0,90,16,424,334,1,12,4518699,27266.44488,1549773,1348982,180356,553160,432652,561952,1186660,340581,3038969,129608,113905,106066,62893,91930
CA,CA4,201703,ADV,8284,74.44314341,0.56361661,0.664403066,$766.83 ,$164.31 ,$91.06 ,$229.57 ,$281.89 ,$0.00 ,31,0,106,29,1075,1361,4,21,13262234,4850.972611,4615697,4338482,441609,1781058,1352330,1739765,2957709,1601964,9307146,1149887,86507,469799,343744,220875
CA,CA5,201703,ADV,269,75.56877323,0.598513011,1.132490706,$881.48 ,$0.00 ,$190.35 ,$411.43 ,$279.69 ,$0.00 ,0,0,8,0,61,76,1,2,848112,1842.466511,287498,271226,25853,88185,78474,123435,199599,77382,459811,31090,10988,17892,11400,12601
CA,CA6,201703,ADV,92,78.84782609,0.630434783,1.269032609,"$1,368.10 ",$161.99 ,$160.08 ,$449.21 ,$596.82 ,$0.00 ,1,0,1,0,28,34,1,0,443738,2735.137621,156210,144962,13861,52042,46478,64775,99117,45552,244382,21169,6950,15410,8052,19863
CA,CA7,201703,ADV,2186,71.86276304,0.552150046,0.259668802,$274.34 ,$38.14 ,$11.41 ,$35.84 ,$188.95 ,$0.00 ,0,0,4,0,29,26,0,1,883053,8132.256436,295756,267913,39056,139584,77216,92005,257750,84735,576023,15490,21557,24792,18281,31126
CA,CA8,201703,ADV,91,77.76923077,0.593406593,0.942461539,"$1,328.91 ",$206.68 ,$577.40 ,$360.13 ,$184.71 ,$0.00 ,0,0,2,2,23,33,0,0,281455,3300.636162,121095,105317,6175,17123,20715,52758,50492,9045,86881,7329,9630,3482,4557,16435
CA,CA9,201703,ADV,61,76.27868853,0.606557377,1.001573771,"$1,402.56 ",$324.58 ,$288.34 ,$468.47 ,$321.17 ,$0.00 ,0,0,1,1,14,17,0,0,433212,3281.719108,141155,126052,10475,78816,46650,55515,114125,75432,301974,14534,6567,17221,5984,17741
CA,CA1,201704,ADV,48405,73.49459767,0.573473815,0.559697779,$678.39 ,$217.17 ,$84.28 ,$179.74 ,$197.21 ,$0.00 ,687,25,509,667,8534,2981,22,34,3302833,4208.762531,1204884,1118980,106962,286008,279602,439595,726344,216965,1787453,255366,42081,75015,61486,89451
CA,CA10,201704,ADV,60,79.9,0.65,1.101466667,"$1,331.14 ",$208.86 ,$525.25 ,$414.39 ,$182.64 ,$0.00 ,0,0,2,0,24,19,0,0,460477,4824.376542,147791,136106,18321,81345,44779,50391,143528,61208,326860,6561,10023,13317,8274,5426
CA,CA11,201704,ADV,13,74.84615385,0.615384615,1.091538462,$668.58 ,$0.00 ,$336.52 ,$193.71 ,$138.35 ,$0.00 ,0,0,0,0,8,3,0,0,150075,1390.308446,45792,42735,4855,24270,10946,14567,40935,13829,101017,2919,1938,3483,2730,14912
CA,CA12,201704,ADV,122,76.98360656,0.581967213,1.1815,"$1,281.91 ",$485.85 ,$156.17 ,$374.86 ,$265.02 ,$0.00 ,1,0,1,0,32,42,0,0,978130,5958.095977,328577,304624,41276,147389,92035,114438,279979,108140,686675,23756,12508,28262,25805,16750
